scenario,sequence,send_time_s,receive_time_s,delay_s,received,eligible_for_loss,phase
joint,0,0.000000000,0.000140740,0.000140740,true,true,pre_fault
joint,1,0.001000000,0.001237650,0.000237650,true,true,pre_fault
joint,2,0.002000000,0.002237650,0.000237650,true,true,pre_fault
joint,3,0.003000000,0.003237650,0.000237650,true,true,pre_fault
joint,4,0.004000000,0.004237650,0.000237650,true,true,pre_fault
joint,5,0.005000000,,,false,true,outage
joint,6,0.006000000,0.006081800,0.000081800,true,true,recovery_transition
joint,7,0.007000000,0.007087080,0.000087080,true,true,post_recovery
joint,8,0.008000000,0.008087080,0.000087080,true,true,post_recovery
joint,9,0.009000000,0.009087080,0.000087080,true,true,post_recovery
joint,10,0.010000000,0.010087080,0.000087080,true,true,post_recovery
joint,11,0.011000000,0.011087080,0.000087080,true,true,post_recovery
joint,12,0.012000000,0.012087080,0.000087080,true,true,post_recovery
joint,13,0.013000000,0.013087080,0.000087080,true,true,post_recovery
joint,14,0.014000000,0.014087080,0.000087080,true,true,post_recovery
joint,15,0.015000000,0.015087080,0.000087080,true,true,post_recovery
joint,16,0.016000000,0.016087080,0.000087080,true,true,post_recovery
joint,17,0.017000000,0.017087080,0.000087080,true,true,post_recovery
joint,18,0.018000000,0.018087080,0.000087080,true,true,post_recovery
joint,19,0.019000000,0.019087080,0.000087080,true,true,post_recovery
joint,20,0.020000000,,,false,false,post_recovery
