scenario,metric,run1,run2,identical
baseline,tt_eligible_sent,20,20,true
baseline,tt_received,20,20,true
baseline,tt_lost,0,0,true
baseline,be_received_raw,98,98,true
baseline,first_success_after_fault_s,,,true
baseline,recovery_duration_us,,,true
baseline,switch_to_first_success_us,,,true
failure,tt_eligible_sent,20,20,true
failure,tt_received,5,5,true
failure,tt_lost,15,15,true
failure,be_received_raw,24,24,true
failure,first_success_after_fault_s,,,true
failure,recovery_duration_us,,,true
failure,switch_to_first_success_us,,,true
online,tt_eligible_sent,20,20,true
online,tt_received,19,19,true
online,tt_lost,1,1,true
online,be_received_raw,92,92,true
online,first_success_after_fault_s,0.006081800,0.006081800,true
online,recovery_duration_us,1081.800000000,1081.800000000,true
online,switch_to_first_success_us,81.800000000,81.800000000,true
