HNF_set_exact,algorithm,attempted,expected_scale_count,instance_completion_exact,observed_HNF_set_sha,observed_instance_completion_sha,observed_scheduled_count,parity_pass,repeat,scenario,scheduled_count_exact,source_HNF_set_sha,source_instance_completion_sha,source_scheduled_count
True,H2S,True,348,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,True,1,M_RING,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348
True,CELF,True,348,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,0e303dffb1bdb42cd6d9ea724b1993919cf521e759716f0b57e99017a0804d76,348,True,1,M_RING,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,0e303dffb1bdb42cd6d9ea724b1993919cf521e759716f0b57e99017a0804d76,348
True,H2S,True,348,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,True,2,M_RING,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348
True,CELF,True,348,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,0e303dffb1bdb42cd6d9ea724b1993919cf521e759716f0b57e99017a0804d76,348,True,2,M_RING,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,0e303dffb1bdb42cd6d9ea724b1993919cf521e759716f0b57e99017a0804d76,348
True,H2S,True,348,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,True,1,M_REDSTAR,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348
True,CELF,True,348,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,74fbcedf0be8bc181920d7746a90f72936e721aff1b0d20c566549db8e0a281d,348,True,1,M_REDSTAR,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,74fbcedf0be8bc181920d7746a90f72936e721aff1b0d20c566549db8e0a281d,348
True,H2S,True,348,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,True,2,M_REDSTAR,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348
True,CELF,True,348,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,74fbcedf0be8bc181920d7746a90f72936e721aff1b0d20c566549db8e0a281d,348,True,2,M_REDSTAR,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,74fbcedf0be8bc181920d7746a90f72936e721aff1b0d20c566549db8e0a281d,348
True,H2S,True,348,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,True,1,M_ROR,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348
True,CELF,True,348,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,f57dd6caf2af8579c586c20f63cb7d79a2a8c57d4e6bcfeefeb7508830f6d7a7,348,True,1,M_ROR,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,f57dd6caf2af8579c586c20f63cb7d79a2a8c57d4e6bcfeefeb7508830f6d7a7,348
